domain,v,p,pct,rua,ruf,sp,fo,rf,adkim,aspf,ri
RESULTS,DMARC1,quarantine,5,mailto:postmaster@keepcon.com,mailto:abuse@keepcon.com,default,1,default,default,default,default
_dmarc.keyssoulcare.com.,DMARC1,quarantine,default,mailto:dmarc_agg@vali.email,default,default,default,default,default,default,default
_dmarc.kitapyurdu.com.,DMARC1,reject,default,mailto:52ab52cedb@rua.easydmarc.asia,mailto:52ab52cedb@ruf.easydmarc.asia,default,1,default,default,default,604800
_dmarc.knowledgecoop.com.,DMARC1,none,default,mailto:dmarc@knowledgecoop.com,default,default,default,default,default,default,default
_dmarc.kreezee.com.,DMARC1,none,100,mailto:sylvain@kreezee.com,mailto:sylvain@kreezee.com,none,default,afrf,default,default,default
_dmarc.landc.co.uk.,DMARC1,none,default,mailto:postmaster@landc.co.uk,default,default,default,default,default,default,default
_dmarc.laws.ms.,DMARC1,none,default,mailto:pang@laws.ms,default,default,default,default,default,default,default
_dmarc.leapfroggroup.org.,DMARC1,none,default,"mailto:BEIAdmin@leapfroggroup.org,mailto:d49c6d67@mxtoolbox.dmarc-report.com","mailto:BEIAdmin@leapfroggroup.org,mailto:d49c6d67@forensics.dmarc-report.com",default,0:1:d:s,default,default,default,default
_dmarc.lipseyscloud.com.,DMARC1,reject,default,default,default,reject,default,default,s,s,default
_dmarc.lpionline.com.,DMARC1,quarantine,100,"mailto:dmarc_agg@vali.email,mailto:rua@wiley.com",mailto:ruf@wiley.com,quarantine,1,default,r,r,default
_dmarc.madavi.de.,DMARC1,none,default,mailto:rz@madavi.de,default,default,default,default,default,default,default
_dmarc.mainfreight.com.,DMARC1,none,default,mailto:e2f9eecd6282019@rep.dmarcanalyzer.com,mailto:e2f9eecd6282019@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.marketstreetunited.com.,DMARC1,quarantine,100,mailto:smg_dmarc@unitedtexas.com,default,default,default,default,default,default,default
_dmarc.materialise.com.,DMARC1,quarantine,default,mailto:administrator@materialise.be,mailto:administrator@materialise.be,default,default,default,default,default,default
_dmarc.medievaltimes.com.,DMARC1,quarantine,default,mailto:fr5fwgrx@ag.us.dmarcian.com,mailto:fr5fwgrx@fr.us.dmarcian.com,default,default,default,default,default,default
_dmarc.meduniwien.ac.at.,DMARC1,none,default,mailto:dmarc-rua@meduniwien.ac.at,default,default,default,default,default,default,default
_dmarc.meodora.com.,spf1 ip4:176.57.223.0/24 ip4:92.53.116.0/22 ip4:92.53.96.0/22 ip4:92.53.112.0/22 ip4:92.53.104.0/22 ip6:2a03:6f00::/32 ~all,default,default,default,default,default,default,default,default,default,default
_dmarc.midwest.social.,DMARC1,reject,100,mailto:postmaster@mithril.email,mailto:forensic@mithril.email,reject,1,afrf,s,s,600
